
----------RESTART----------
[2025-05-02 09:26:36] [INFO] SERVER_STARTED (0.0.0.0,8003)
[2025-05-02 09:26:36] [INFO] Initial listener message sent to ('127.0.0.1', 8000)
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:36] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:36] [INFO] Initial listener message sent to ('127.0.0.1', 8001)
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:36] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:36] [INFO] Initial listener message sent to ('127.0.0.1', 8002)
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:36] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:36] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:37] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:39] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:40] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:42] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:42] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:42] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:42] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:42] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:42] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8001))
[2025-05-02 09:26:43] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8002))
