
----------RESTART----------
[2025-05-02 09:26:15] [INFO] SERVER_STARTED (0.0.0.0,8001)
[2025-05-02 09:26:15] [INFO] Initial listener message sent to ('127.0.0.1', 8000)
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:16] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:16] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:17] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:18] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:19] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:22] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:25] [INFO] Listener message received from 127.0.0.1:8002
[2025-05-02 09:26:25] [INFO] Message sent to 127.0.0.1
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:25] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:27] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:27] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:28] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 52462))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
[2025-05-02 09:26:31] [INFO] MESSAGE_RECIEVED (('127.0.0.1', 8000))
